order_id,order_placement_date,customer_id,product_id,order_qty
FDEC844720502,"Saturday, January 3, 2026",789720,25891203,360
FDEC844720502,"Saturday, January 3, 2026",789720,25891502,155
FDEC844720502,"Saturday, January 3, 2026",789720,25891201,303
FDEC844720502,"Saturday, January 3, 2026",789720,25891502,348
FDEC844321603,"Saturday, January 3, 2026",789321,99999999,244
FDEC844321603,"Saturday, January 3, 2026",789321,25891201,408
FDEC844321603,"Saturday, January 3, 2026",789321,25891603,114
FDEC844321603,"Saturday, January 3, 2026",789321,99999999,268
FDEC844702601,"Saturday, January 3, 2026",789702,25891103,290
FDEC844702601,"Saturday, January 3, 2026",789702,25891601,145
FDEC844702601,"Saturday, January 3, 2026",789702,25891501,220
FDEC844702601,"Saturday, January 3, 2026",789702,25891401,167
FDEC844702601,"Saturday, January 3, 2026",789702,25891401,311
FDEC844121503,"Saturday, January 3, 2026",789121,25891503,106
FDEC844121503,"Saturday, January 3, 2026",789121,25891201,581
FDEC844121503,"Saturday, January 3, 2026",789121,25891101,434
FDEC844121503,"Saturday, January 3, 2026",789121,25891503,106
FDEC844221503,"Saturday, January 3, 2026",789221,25891503,137
FDEC844221503,"Saturday, January 3, 2026",789221,25891401,222
FDEC844221503,"Saturday, January 3, 2026",789221,25891303,68
FDEC844221503,"Saturday, January 3, 2026",789221,25891503,92
FDEC844422402,"Saturday, January 3, 2026",789422,25891302,55
FDEC844422402,"Saturday, January 3, 2026",789422,25891402,188
FDEC844422402,"Saturday, January 3, 2026",789422,25891201,129
FDEC844422402,"Saturday, January 3, 2026",789422,25891201,220
FDEC844501603,"Saturday, January 3, 2026",ABC987,25891102,423
FDEC844501603,"Saturday, January 3, 2026",789501,25891103,441
FDEC844501603,"Saturday, January 3, 2026",789501,25891603,72
FDEC844501603,"Saturday, January 3, 2026",ABC987,25891102,396
FDEC844103502,"Saturday, January 3, 2026",789103,25891203,517
FDEC844103502,"Saturday, January 3, 2026",789103,25891302,78
FDEC844103502,"Saturday, January 3, 2026",789103,25891502,118
FDEC844122503,"Saturday, January 3, 2026",789122,25891503,203
FDEC844122503,"Saturday, January 3, 2026",789122,25891101,306
FDEC844122503,"Saturday, January 3, 2026",789122,25891503,279
FDEC844201503,"Saturday, January 3, 2026",789201,25891102,457
FDEC844201503,"Saturday, January 3, 2026",ABC987,25891101,333
FDEC844203403,"Saturday, January 3, 2026",789203,25891403,292
FDEC844203403,"Saturday, January 3, 2026",789203,25891303,43
FDEC844203403,"Saturday, January 3, 2026",789203,25891403,240
FDEC844220601,"Saturday, January 3, 2026",789220,99999999,24
FDEC844303403,"Saturday, January 3, 2026",789303,25891403,329
FDEC844303403,"Saturday, January 3, 2026",789303,25891401,228
FDEC844303403,"Saturday, January 3, 2026",789303,25891403,244
FDEC844320501,"Saturday, January 3, 2026",789320,25891203,176
FDEC844320501,"Saturday, January 3, 2026",XYZ123,25891102,479
FDEC844320501,"Saturday, January 3, 2026",789320,25891501,84
FDEC844401602,"Saturday, January 3, 2026",789401,25891403,362
FDEC844401602,"Saturday, January 3, 2026",789401,25891202,251
FDEC844403601,"Saturday, January 3, 2026",789403,25891302,104
FDEC844403601,"Saturday, January 3, 2026",789403,25891601,105
FDEC844403601,"Saturday, January 3, 2026",789403,25891402,399
FDEC844420502,"Saturday, January 3, 2026",789420,88888888,159
FDEC844420502,"Saturday, January 3, 2026",789420,25891502,236
FDEC844603403,"Saturday, January 3, 2026",789603,25891203,426
FDEC844603403,"Saturday, January 3, 2026",789603,25891403,328
FDEC844622501,"Saturday, January 3, 2026",789622,25891302,55
FDEC844622501,"Saturday, January 3, 2026",789622,25891201,240
FDEC844622501,"Saturday, January 3, 2026",789622,25891501,164
FDEC844903302,"Saturday, January 3, 2026",789903,25891302,48
FDEC844903302,"Saturday, January 3, 2026",789903,25891101,530
FDEC844903302,"Saturday, January 3, 2026",789903,25891202,369
