order_id,order_placement_date,customer_id,product_id,order_qty
FDEC844720502,"Thursday, January 1, 2026",789720,25891203,282
FDEC844720502,"Thursday, January 1, 2026",789720,25891502,213
FDEC844720502,"Thursday, January 1, 2026",789720,25891201,244
FDEC844720502,"Thursday, January 1, 2026",789720,25891502,293
FDEC844321603,"Thursday, January 1, 2026",789321,99999999,211
FDEC844321603,"Thursday, January 1, 2026",789321,25891201,430
FDEC844321603,"Thursday, January 1, 2026",789321,25891603,134
FDEC844321603,"Thursday, January 1, 2026",789321,99999999,244
FDEC844702601,"Thursday, January 1, 2026",789702,25891103,246
FDEC844702601,"Thursday, January 1, 2026",789702,25891601,187
FDEC844702601,"Thursday, January 1, 2026",789702,25891501,195
FDEC844702601,"Thursday, January 1, 2026",789702,25891401,242
FDEC844702601,"Thursday, January 1, 2026",789702,25891401,268
FDEC844121503,"Thursday, January 1, 2026",789121,25891503,124
FDEC844121503,"Thursday, January 1, 2026",789121,25891201,536
FDEC844121503,"Thursday, January 1, 2026",789121,25891101,409
FDEC844121503,"Thursday, January 1, 2026",789121,25891503,79
FDEC844221503,"Thursday, January 1, 2026",789221,25891503,153
FDEC844221503,"Thursday, January 1, 2026",789221,25891401,233
FDEC844221503,"Thursday, January 1, 2026",789221,25891303,74
FDEC844221503,"Thursday, January 1, 2026",789221,25891503,106
FDEC844422402,"Thursday, January 1, 2026",789422,25891302,66
FDEC844422402,"Thursday, January 1, 2026",789422,25891402,227
FDEC844422402,"Thursday, January 1, 2026",789422,25891201,184
FDEC844422402,"Thursday, January 1, 2026",789422,25891201,274
FDEC844501603,"Thursday, January 1, 2026",ABC987,25891102,528
FDEC844501603,"Thursday, January 1, 2026",789501,25891103,351
FDEC844501603,"Thursday, January 1, 2026",789501,25891603,87
FDEC844501603,"Thursday, January 1, 2026",ABC987,25891102,480
FDEC844103502,"Thursday, January 1, 2026",789103,25891203,513
FDEC844103502,"Thursday, January 1, 2026",789103,25891302,83
FDEC844103502,"Thursday, January 1, 2026",789103,25891502,149
FDEC844122503,"Thursday, January 1, 2026",789122,25891503,175
FDEC844122503,"Thursday, January 1, 2026",789122,25891101,373
FDEC844122503,"Thursday, January 1, 2026",789122,25891503,241
FDEC844201503,"Thursday, January 1, 2026",789201,25891102,478
FDEC844201503,"Thursday, January 1, 2026",ABC987,25891101,354
FDEC844203403,"Thursday, January 1, 2026",789203,25891403,353
FDEC844203403,"Thursday, January 1, 2026",789203,25891303,40
FDEC844203403,"Thursday, January 1, 2026",789203,25891403,210
FDEC844220601,"Thursday, January 1, 2026",789220,99999999,23
FDEC844303403,"Thursday, January 1, 2026",789303,25891403,341
FDEC844303403,"Thursday, January 1, 2026",789303,25891401,240
FDEC844303403,"Thursday, January 1, 2026",789303,25891403,214
FDEC844320501,"Thursday, January 1, 2026",789320,25891203,149
FDEC844320501,"Thursday, January 1, 2026",XYZ123,25891102,569
FDEC844320501,"Thursday, January 1, 2026",789320,25891501,89
FDEC844401602,"Thursday, January 1, 2026",789401,25891403,475
FDEC844401602,"Thursday, January 1, 2026",789401,25891202,240
FDEC844403601,"Thursday, January 1, 2026",789403,25891302,101
FDEC844403601,"Thursday, January 1, 2026",789403,25891601,86
FDEC844403601,"Thursday, January 1, 2026",789403,25891402,291
FDEC844420502,"Thursday, January 1, 2026",789420,88888888,181
FDEC844420502,"Thursday, January 1, 2026",789420,25891502,234
FDEC844603403,"Thursday, January 1, 2026",789603,25891203,552
FDEC844603403,"Thursday, January 1, 2026",789603,25891403,369
FDEC844622501,"Thursday, January 1, 2026",789622,25891302,65
FDEC844622501,"Thursday, January 1, 2026",789622,25891201,320
FDEC844622501,"Thursday, January 1, 2026",789622,25891501,179
FDEC844903302,"Thursday, January 1, 2026",789903,25891302,48
FDEC844903302,"Thursday, January 1, 2026",789903,25891101,439
FDEC844903302,"Thursday, January 1, 2026",789903,25891202,417
FDEC844102402,"Thursday, January 1, 2026",789102,25891302,35
FDEC844102402,"Thursday, January 1, 2026",789102,25891402,320
FDEC844121302,"Thursday, January 1, 2026",789121,25891302,39
FDEC844121302,"Thursday, January 1, 2026",789121,25891202,125
FDEC844421203,"Thursday, January 1, 2026",789421,25891203,416
FDEC844421203,"Thursday, January 1, 2026",ABC987,25891201,401
FDEC844422501,"Thursday, January 1, 2026",789422,25891403,222
